Conversion Certificate,Deed from Previous Owner,Electricity Connection,Electricity Connection_detail,Encumberence Certificate,Is the plot free of any legal issues?,Revenue Document,Road Available,Road Available_detail,Sewage Connection,Sewage Connection_detail,Title Deed,Title Deed_detail,Water Connection,Water Connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open-sides,overlooking,ownership,plot-area,price,price_available,price_per_sqft,transaction,type,width-road-facing
,,,,,,,,,,,,,,,,No,No,,0,1,"Satpukur, Kolkata",,,,1440 sqft,9.5 Lac,1,660.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,53.7 X 40.2,1,3,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2160 sqft,35 Lac,1,1620.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,No,No,,1,5,"Action Area 2, Kolkata",2.00,,Freehold,3229 sqft,,0,,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,Yes,No,,0,6,"Baruipur, Kolkata",,,,4320 sqft,36 Lac,1,833.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Other,Yes,Borewell,,Yes,No,,0,,"Duttapukur, Kolkata",1.00,,Freehold,15000 sqft,3 Cr,1,2000.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,No,No,30 X 36,6,Congo,"Action Area 3, Kolkata",1.00,Main Road,Freehold,1080 sqft,12.8 Lac,1,1185.00,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Joka, Kolkata",2.00,Main Road,Freehold,1800 sqft,4.9 Lac,1,272.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,,Yes,,0,,"Radhanagar, Kolkata",,,,720 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,50 X 28.8,5,Congo,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2160 sqft,12 Lac,1,556.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,,1,4,"Chinsurah, Kolkata",,,Freehold,2800 sqft,40 Lac,1,1429.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,,Yes,Yes,36 X 40,2,3,"Amtala, Diamond Harbour Road, Kolkata",1.00,Main Road,Freehold,1440 sqft,4.9 Lac,1,340.00,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,,0,,0,,"Narendrapur Rajpur Sonarpur, Kolkata",,Main Road,Freehold,1440 sqft,17 Lac,1,1181.00,New Property,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Water Board,,No,Yes,287 X 288.38,13,1,"Amtala, Diamond Harbour Road, Kolkata",3.00,"Garden/Park, Main Road",Freehold,82764 sqft,,0,,Resale,Residential Land / Plot,4 m
No,Yes,Yes,,Yes,Yes,,Yes,Mud Road,Yes,,Yes,Sale Deed,Yes,,,No,No,,0,,"Sonarpur, Kolkata",2.00,Main Road,Freehold,36000 sqft,,0,,Resale,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,,,,0,,"Dhulagori, Kolkata",,Main Road,Freehold,51840 sqft,11 Cr,1,2122.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,1,"Madhyamgram, Kolkata",,,,1600 sqft,45 Lac,1,2812.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,53.7 X 26.8,1,2,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,25 Lac,1,1736.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,No,No,60 X 54,1,4,"Action Area 2, Kolkata",1.00,"Pool, Garden/Park, Main Road",Freehold,3240 sqft,,0,,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,No,,2,,"Rajarhat, Kolkata",1.00,,Freehold,18000 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Birati, Kolkata",,,,1800 sqft,30 Lac,1,1667.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Sardarhat, Kolkata",,,,1500 sqft,45 Lac,1,3000.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,10,"New Alipore, Kolkata",2.00,Main Road,Freehold,7201 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,2,"Howrah, Kolkata",,,,5355 sqft,1 Cr,1,1867.00,Resale,Residential Land / Plot,
No,Yes,Yes,Electricity Board,No,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,Yes,Water Board,,No,No,,0,Congo,"Kabardanga, Kolkata",2.00,,Freehold,1300 sqft,15 Lac,1,1154.00,Resale,Residential Land / Plot,6 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,144 X 90,10,4,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,12960 sqft,,0,,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,No,No,49.2 X 32.8,7,5,"Action Area 2B, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1615 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Boral, Kolkata",,,Freehold,2160 sqft,96 Lac,1,4445.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Water Board,,Yes,Yes,429 X 402,0,5,"Alipore, Kolkata",1.00,Main Road,Freehold,2880 sqft,,0,,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,No,,2,Congo,"Sodepur, Kolkata",3.00,Main Road,Freehold,1400 sqft,14 Lac,1,1000.00,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,"Power Back Up, Lift, Club House, Swimming Pool, Gymnasium, Reserved Parking",Yes,Yes,18 X 40,2,3,"Rajarhat, Kolkata",2.00,Main Road,Freehold,720 sqft,12 Lac,1,1667.00,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,0,24 X 30,3,Congo,"Action Area 3, Kolkata",1.00,Main Road,Freehold,720 sqft,8.5 Lac,1,1181.00,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,No,,3,Congo,"Action Area 2, Kolkata",2.00,Garden/Park,Freehold,1620 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,No,No,,3,Congo,"Joka, Kolkata",1.00,,Freehold,720 sqft,2.3 Lac,1,312.00,Resale,Residential Land / Plot,20 m
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Gift Deed,No,,,No,No,,0,5,Kolkata,4.00,,,20510 sqft,85 Lac,1,414.00,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Narendrapur Rajpur Sonarpur, Kolkata",2.00,Main Road,Freehold,3600 sqft,1 Cr,1,2778.00,Resale,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,Yes,No,45 X 46.67,0,4,"New Alipore, Kolkata",1.00,Main Road,Freehold,2100 sqft,,0,,Resale,Residential Land / Plot,9 m
,,,,,,,,,,,,,,,,,,,2,4,"Thakurpukur, Kolkata",,,Freehold,3105 sqft,1 Cr,1,3221.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,4,"Action Area 3, Kolkata",2.00,Main Road,Freehold,2160 sqft,1.40 Cr,1,6482.00,Resale,Residential Land / Plot,39 m
,,,,,,,,,,,,,,,,No,0,,0,4,"Subhasgram, Kolkata",,,,1655 sqft,24 Lac,1,1450.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,42 X 36,1,5,"Rajarhat, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1512 sqft,23.5 Lac,1,1554.00,New Property,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Baguiati, Kolkata",2.00,,Freehold,620 sqft,,0,,Resale,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,Yes,No,,3,6,"Thakurpukur, Kolkata",1.00,,Freehold,7201 sqft,60 Lac,1,833.00,Resale,Residential Land / Plot,70 m
,,,,,,,,,,,,,,,,Yes,No,,1,3,"Purba Barisha, Kolkata",,,,1700 sqft,42 Lac,1,2471.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Conveyance Deed,Yes,,,Yes,No,,7,5,"Narendrapur Rajpur Sonarpur, Kolkata",1.00,Main Road,Freehold,40320 sqft,6 Cr,1,1488.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,,0,4,"Kasba, Kolkata",,,,1440 sqft,50 Lac,1,3472.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,,"Barrackpore, Kolkata",,,,1440 sqft,42 Lac,1,2917.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,2,1,"Canning, Kolkata",,,,6129 sqft,1.50 Cr,1,2447.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Madurdaha, Hussainpur, Kolkata",,,,1800 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,3,"Bishnupur, Kolkata",1440.00,,,1440 sqft,,0,,Resale,Residential Land / Plot,1440 m
,,,,,,,,,,,,,,,,No,No,,0,3,"Diamond Harbour Road, Kolkata",,,,4500 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,3,Kolkata,,,,1800 sqft,45 Lac,1,2500.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,On Highway,Yes,Open,Yes,Sale Deed,Yes,Borewell,,Yes,No,21970 X 6.03,0,20,"Titagarh, Barrackpore, Kolkata",4.00,Main Road,Power Of Attorney,132500 sqft,16 Cr,1,1208.00,Resale,Residential Land / Plot,32 m
No,Yes,Yes,Electricity Board,No,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,No,,0,3,"Maheshtala, Kolkata",2.00,,Freehold,11520 sqft,1.60 Cr,1,1389.00,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,No,No,,2,,"Shibrampur, Shibrampur Mauza, Kolkata",2.00,,,1440 sqft,12 Lac,1,833.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Lift, Rain Water Harvesting, Reserved Parking, Security, Water Storage, Visitor Parking",No,No,,3,,"Action Area 3, Kolkata",1.00,,Freehold,2160 sqft,1.18 Cr,1,5463.00,Resale,Residential Land / Plot,13 m
No,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,70 X 314.29,0,2,"New Market Area, Taltala, Kolkata",1.00,,,22000 sqft,5 Cr,1,2273.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,No,No,,4,4,"Action Area 2, Kolkata",1.00,Main Road,Freehold,1620 sqft,,0,,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,No,,2,5,"North 24 Parganas, Kolkata",,,,14400 sqft,1.40 Cr,1,972.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Garia, Kolkata",2.00,,,19440 sqft,,0,,Resale,Residential Land / Plot,
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,0,Congo,"Bandel Chinsurah, Kolkata",4.00,,,7921 sqft,50 Lac,1,631.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,50 X 28.8,13,,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,7.8 Lac,1,542.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,,0,,"Jessore Road, Kolkata",1.00,,Freehold,87120 sqft,,0,,Resale,Residential Land / Plot,20 m
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,No,No,53.7 X 26.8,5,1,"Action Area 3, Kolkata",,,,1440 sqft,22 Lac,1,1528.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,4,"Beleghata, Kolkata",,,,108000 sqft,40 Cr,1,3703.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,49 X 33.06,6,5,"Action Area 1, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1620 sqft,1.65 Cr,1,10185.00,Resale,Residential Land / Plot,12 m
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,Yes,,0,,"Sonarpur, Kolkata",3.00,,Freehold,15000 sqft,,0,,Resale,Residential Land / Plot,3 m
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,40 X 36,1,Congo,"Joka, Kolkata",2.00,,Freehold,720 sqft,2.7 Lac,1,375.00,Resale,Residential Land / Plot,20 m
Yes,Yes,No,,No,Yes,,Yes,On Highway,No,,No,,No,,,No,Yes,45 X 32,0,4,"Debrupayan Nagar, Kolkata",3.00,,Co-operative Society,1440 sqft,8.4 Lac,1,583.00,Resale,Residential Land / Plot,9 m
,,,,,,,,,,,,,,,,No,No,24 X 30,17,,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,720 sqft,2.3 Lac,1,319.00,New Property,Residential Land / Plot,25 m
,,,,,,,,,,,,,,,,Yes,No,,0,,"Madhyamgram, Kolkata",1.00,,,1440 sqft,27 Lac,1,1667.00,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,"Lift, Rain Water Harvesting, Reserved Parking, Security, Water Storage, Visitor Parking",No,No,,2,4,"Action Area 3, Kolkata",1.00,,Freehold,1620 sqft,90 Lac,1,5556.00,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,No,66 X 48.94,7,5,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,3230 sqft,2.30 Cr,1,7121.00,Resale,Residential Land / Plot,13 m
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Conveyance Deed,No,,"Club House, Swimming Pool, Gymnasium, Park, Reserved Parking, Security",No,No,,3,,"Anandapur, Kolkata",3.00,,,8850 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,Kolkata,4.00,,,129600 sqft,12 Cr,1,495.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,Yes,No,139.53 X 129,9,1,"Sukchar, Kolkata",3.00,,Freehold,18000 sqft,,0,,Resale,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Uttarpara Chinsurah, Kolkata",,,,3600 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,,"Kasba, Kolkata",1.00,Main Road,Freehold,43200 sqft,9 Cr,1,2083.00,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,3,4,"Action Area 2, Kolkata",1.00,Main Road,Freehold,3229 sqft,,0,,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,Yes,No,45 X 44,0,5,"Mahesh Colony, Kolkata",3.00,Garden/Park,Freehold,1980 sqft,,0,,Resale,Residential Land / Plot,6 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,On Highway,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,No,,0,3,"Habra, Kolkata",,,,500 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Lift, Rain Water Harvesting, Reserved Parking, Security, Water Storage, Visitor Parking",No,No,,2,4,"Action Area 3, Kolkata",,,Freehold,2153 sqft,1.25 Cr,1,5806.00,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Palta, Barrackpore, Kolkata",2.00,,,2160 sqft,36 Lac,1,1667.00,New Property,Residential Land / Plot,9 m
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,No,,0,,"Action Area 3, Kolkata",,"Pool, Garden/Park, Main Road",Freehold,1440 sqft,21 Lac,1,1458.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Other,Yes,Borewell,,Yes,Yes,,1,5,"Santipur, Kolkata",2.00,,Freehold,5050 sqft,50 Lac,1,990.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,Yes,No,,0,4,Kolkata,1.00,,,43560 sqft,,0,,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,No,,1,,"Action Area 2, Kolkata",1.00,Main Road,Freehold,2152 sqft,,0,,Resale,Residential Land / Plot,12 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,0,,"Chandannagar, Hooghly-Chinsurah, Kolkata",,,Freehold,45 sqft,,0,,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,Yes,,6,,"Piali, Kolkata",,,,720 sqft,5 Lac,1,694.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,,No,No,Yes,Yes,,Yes,,Yes,Sale Deed,Yes,,,No,Yes,,6,,"Piali, Kolkata",,,,720 sqft,1 Lac,1,139.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,53.7 X 53.7,0,4,"Ghola, Sodepur, Kolkata",3.00,Main Road,Freehold,2880 sqft,19 Lac,1,660.00,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,Yes,0,45 X 70,0,5,"Bosepukur, Kasba, Kolkata",1.00,,,3600 sqft,35 Lac,1,972.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,No,,4,4,"Shyamnagar, Kolkata",1.00,,Freehold,2160 sqft,26 Lac,1,1204.00,Resale,Residential Land / Plot,18 m
,,,,,,,,,,,,,,,,Yes,No,,3,,"Santoshpur, Kolkata",2.00,,Freehold,4320 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,6,"Gariahat Road, Kolkata",,Main Road,Freehold,72180 sqft,20 Cr,1,2771.00,Resale,Residential Land / Plot,120 m
,,,,,,,,,,,,,,,,No,No,32 X 45,7,,"Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1440 sqft,5 Lac,1,347.00,New Property,Residential Land / Plot,5 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,No,Yes,102 X 37,0,4,"Kanchrapara Loco, Kolkata",2.00,Main Road,Freehold,5620 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,Yes,35 X 41.14,2,2,"Sonarpur Station Road, Kolkata",4.00,"Garden/Park, Main Road",Freehold,1440 sqft,16 Lac,1,1111.00,New Property,Residential Land / Plot,4 m
Yes,No,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,No,,,Yes,No,36 X 17,3,1,"Madurdaha, Hussainpur, Kolkata",,Main Road,Freehold,5760 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,0,8050 X 1.07,8,1,"Triangular Park, Kolkata",2.00,"Garden/Park, Main Road",Freehold,8641 sqft,,0,,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,6,"Convent Road, Kolkata",,Main Road,Freehold,16000 sqft,,0,,Resale,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,No,No,,1,,"Action Area 1, Kolkata",1.00,Main Road,Freehold,1614 sqft,2 Cr,1,12392.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,,,,0,,"Sonarpur, Kolkata",,,,54500 sqft,,0,,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Swimming Pool, Gymnasium",Yes,No,,36,5,"Rajarhat Main Road, Kolkata",2.00,"Pool, Garden/Park, Main Road",Freehold,144000 sqft,1.25 Cr,1,87.00,Resale,Residential Land / Plot,16 m
,,,,,,,,,,,,,,,,Yes,No,,0,18,"New Town, Kolkata",1.00,,,3500 sqft,6 Lac,1,171.00,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,,,,0,,"Salt Lake City, Kolkata",,,Freehold,2160 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,3,4,"New Town Road, Kolkata",1.00,Main Road,Freehold,3229 sqft,,0,,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,No,,0,Congo,"Joka, Kolkata",2.00,Main Road,Freehold,1440 sqft,3.8 Lac,1,264.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,Yes,28 X 45.71,7,4,"Purbasa, Kolkata",4.00,Main Road,Freehold,1280 sqft,14 Lac,1,1094.00,New Property,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Baruipur, Kolkata",,,,19440 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,,"Barasat, Kolkata",,,Freehold,159900 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,3,5,"Alipore, Kolkata",2.00,,Freehold,5040 sqft,,0,,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,32 X 56.25,4,5,"Sonarpur Station Road, Kolkata",2.00,Main Road,Freehold,1800 sqft,17.5 Lac,1,972.00,New Property,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,No,No,55 X 78.55,5,5,"Sonarpur Station Road, Kolkata",2.00,Main Road,Freehold,4320 sqft,42 Lac,1,972.00,New Property,Residential Land / Plot,15 m
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Sale Deed,No,,,No,No,,7,Congo,"Basirhat, Kolkata",1.00,,,6050 sqft,36 Lac,1,595.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,564 X 429,1,4,"Madurdaha, Hussainpur, Kolkata",2.00,Main Road,Freehold,2160 sqft,,0,,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,Yes,Yes,40 X 36,2,4,"Action Area 2E, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,22.6 Lac,1,1569.00,New Property,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,Yes,No,,0,1,"Santoshree Pally, Thakurpukur, Kolkata",,,,2880 sqft,40 Lac,1,1389.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,Congo,"Rajpur Sonarpur, Kolkata",2.00,,Freehold,20880 sqft,75 Lac,1,359.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,,2,Congo,"Joka, Kolkata",1.00,,Freehold,1440 sqft,6 Lac,1,417.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,"Gymnasium, Park, Banquet Hall, Kids Play Area",Yes,Yes,40 X 44.5,8,5,"New Town, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1780 sqft,22.5 Lac,1,1264.00,New Property,Residential Land / Plot,30 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,,No,No,44 X 32.89,2,2,"Subhasgram, Kolkata",1.00,,Freehold,1447 sqft,13.5 Lac,1,933.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,Yes,No,40 X 72,4,5,"Sonarpur, Kolkata",2.00,Main Road,Freehold,2880 sqft,28 Lac,1,972.00,New Property,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Naihati, Kolkata",,,,6000 sqft,99 Lac,1,1650.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",No,0,,4,,"Joka, Kolkata",2.00,,Freehold,720 sqft,2.5 Lac,1,347.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",No,No,,5,Congo,"Joka, Kolkata",2.00,,Freehold,720 sqft,1.9 Lac,1,257.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,,6,,"Joka, Kolkata",1.00,,Freehold,720 sqft,3 Lac,1,417.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,41.99 X 34.29,5,Congo,"Action Area 3, Kolkata",3.00,Main Road,Freehold,1440 sqft,21.4 Lac,1,1486.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,151 X 10.7,0,4,"Action Area 2B, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1615 sqft,,0,,New Property,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,No,,0,,"Nayabad, Kolkata",1.00,Main Road,Freehold,1440 sqft,45 Lac,1,3125.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,No,,0,,"Madurdaha, Hussainpur, Kolkata",1.00,Main Road,Freehold,1440 sqft,45 Lac,1,3125.00,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,No,No,1250 X 1,7,5,"Action Area 2D, Kolkata",2.00,"Garden/Park, Main Road",Co-operative Society,1250 sqft,24 Lac,1,1920.00,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,Yes,Yes,10730 X 0.81,0,1,"Hindustan Park, Gariahat, Kolkata",2.00,"Garden/Park, Main Road",Freehold,8641 sqft,,0,,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,No,,0,4,Kolkata,,,,13680 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,2,4,"New Alipore, Kolkata",2.00,Main Road,Freehold,28800 sqft,5 Cr,1,1736.00,Resale,Residential Land / Plot,25 m
,,,,,,,,,,,,,,,,No,Yes,,0,3,"Ganga Nagar Mukundapur, Kolkata",1.00,,,1452 sqft,25 Lac,1,1722.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Mukundapur, Kolkata",,,,2160 sqft,,0,,Resale,Residential Land / Plot,
