Conversion Certificate,Deed from Previous Owner,Electricity Connection,Electricity Connection_detail,Encumberence Certificate,Is the plot free of any legal issues?,Revenue Document,Road Available,Road Available_detail,Sewage Connection,Sewage Connection_detail,Title Deed,Title Deed_detail,Water Connection,Water Connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open-sides,overlooking,ownership,plot-area,price,price_available,price_per_sqft,transaction,type,width-road-facing
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,0,20,"Bagnan, Kolkata",4.00,,,2178 sqft,45 Lac,1,2066.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Sale Deed,Yes,,,No,No,,0,Congo,"Baruipur, Kolkata",1.00,,,2880 sqft,16 Lac,1,556.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,No,47 X 33,0,,"Sodepur, Kolkata",,,Freehold,1440 sqft,24.5 Lac,1,1701.00,Resale,Residential Land / Plot,3 m
No,No,No,,No,Yes,Yes,Yes,Mud Road,No,,Yes,Sale Deed,No,,,No,No,429 X 295,0,2,"Hooghly, Kolkata",2.00,Main Road,Freehold,1440 sqft,7.5 Lac,1,521.00,Resale,Residential Land / Plot,4 m
No,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Will Deed,No,,,Yes,No,,1,3,"Nayabad, Kolkata",2.00,,,1440 sqft,60 Lac,1,4167.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,,1,Congo,"Sonarpur, Kolkata",1.00,,Freehold,1500 sqft,16 Lac,1,1067.00,Resale,Residential Land / Plot,
No,Yes,No,,Yes,Yes,,No,,Yes,Open,Yes,Sale Deed,No,,,No,No,,1,Congo,"Sarsuna, Kolkata",2.00,,Freehold,3600 sqft,45 Lac,1,1250.00,Resale,Residential Land / Plot,32 m
Yes,Yes,No,,Yes,No,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,,0,,"Jagatdal, Kolkata",,,Freehold,1440 sqft,10 Lac,1,694.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,No,No,,7,1,"Howrah, Kolkata",1.00,,Freehold,2080 sqft,55 Lac,1,2644.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,5,"Terita Bazar, Kolkata",,,,10080 sqft,1.50 Cr,1,1488.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,1,"Ghosh Para Howrah, Kolkata",4.00,,,3920 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,3,"Batanagar, Kolkata",3.00,,Freehold,2160 sqft,15 Lac,1,694.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,Yes,No,,4,3,"International Airport, Dum Dum, Jessore Road, Kolkata",2.00,Main Road,Freehold,1440 sqft,58 Lac,1,4028.00,Resale,Residential Land / Plot,14 m
No,No,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,1,6,"Rajpur, Kolkata",3.00,,Freehold,5040 sqft,65 Lac,1,1290.00,Resale,Residential Land / Plot,5 m
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Gift Deed,No,,,Yes,No,88.99 X 46.97,1,3,"Anandapuri, Barrackpore, Kolkata",1.00,,Freehold,4180 sqft,1.10 Cr,1,2632.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,Yes,No,,1,,"New Garia, Garia, Kolkata",1.00,Main Road,Freehold,1710 sqft,60 Lac,1,3509.00,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,No,No,,0,,Kolkata,,,,108 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,,,,0,,"Madhyamgram, Kolkata",,Main Road,Leasehold,12240 sqft,,0,,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,1,Kolkata,,,,2900 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,No,,Yes,Yes,Yes,Yes,On Highway,No,,Yes,Sale Deed,No,,,No,No,13.1 X 246,3,4,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,3229 sqft,2.50 Cr,1,7742.00,Resale,Residential Land / Plot,20 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,4,,"Joka, Kolkata",1.00,,Freehold,720 sqft,1.6 Lac,1,222.00,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,No,Yes,966 X 1073,11,4,"Action Area 3, Kolkata",4.00,"Garden/Park, Main Road",Freehold,1440 sqft,17 Lac,1,1181.00,New Property,Residential Land / Plot,20 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,3,Congo,"Baranagar, Kolkata",2.00,,Freehold,1620 sqft,35 Lac,1,2160.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,No,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,No,,"Park, Security",No,No,81 X 53.58,4,,"Joka, Kolkata",,"Garden/Park, Main Road",,4340 sqft,15 Lac,1,346.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Sonarpur, Kolkata",,,,2160 sqft,15 Lac,1,694.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,100 X 100,0,4,"Hazra, Kalighat, Kolkata",3.00,"Garden/Park, Main Road",Freehold,10000 sqft,,0,,Resale,Residential Land / Plot,35 m
,,,,,,,,,,,,,,,,No,No,,0,,"Kankulia, Dhakuria, Kolkata",4.00,,Freehold,43200 sqft,15 Cr,1,3472.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,64 X 25,0,,Kolkata,,,,1600 sqft,,0,,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,24 X 30.42,20,,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,730 sqft,3.6 Lac,1,492.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,,,,0,,"Birati, Kolkata",,,Freehold,3600 sqft,1 Cr,1,2778.00,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,"Lift, Security, Vaastu Compliant, Visitor Parking",No,No,80 X 40,2,5,"New Town, Kolkata",2.00,"Garden/Park, Main Road",Freehold,3200 sqft,1.87 Cr,1,5844.00,Resale,Residential Land / Plot,20 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Water Board,,No,No,80 X 40,2,5,"New Town, Kolkata",2.00,Main Road,Freehold,3200 sqft,1.87 Cr,1,5844.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,No,Yes,,0,4,"Joka, Kolkata",,,,1440 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,,"Duillya, Kolkata",,,,1820 sqft,27 Lac,1,1484.00,Resale,Residential Land / Plot,4 m
Yes,No,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Lease Deed,Yes,,,No,No,65.6 X 32.8,3,4,"Action Area 2B, Kolkata",3.00,"Garden/Park, Main Road",Leasehold,2153 sqft,,0,,Resale,Residential Land / Plot,13 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,"Swimming Pool, Park, Security, Kids Play Area, Rentable Community Space",No,No,,1,,"Joka, Kolkata",1.00,,Freehold,720 sqft,3.5 Lac,1,486.00,Resale,Residential Land / Plot,4 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,,Yes,Other,Yes,Borewell,,Yes,No,,0,3,"Gobra Dankuni, Kolkata",4.00,,,1440 sqft,,0,,Resale,Residential Land / Plot,200 m
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,,0,,"Mudiali Kalighat, Kolkata",,,,6481 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Water Storage",,,,1,,"Bantala, Kolkata",,Main Road,Freehold,26640 sqft,2.80 Cr,1,1051.00,New Property,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,No,No,53 X 38,0,3,"Narendrapur Rajpur Sonarpur, Kolkata",2.00,Main Road,Freehold,2014 sqft,30 Lac,1,1490.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,6,Congo,"Joka, Kolkata",1.00,,Freehold,2880 sqft,11 Lac,1,382.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,No,,0,1,"Rajarhat, Kolkata",,,,7921 sqft,2 Cr,1,2525.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Mud Road,Yes,Open,Yes,Other,Yes,Water Board,,No,No,120 X 120,7,3,"Bisharpara, Kolkata",3.00,Main Road,Power Of Attorney,14400 sqft,68 Lac,1,472.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,6.99 X 9000,0,3,"Hazra, Kalighat, Kolkata",2.00,Main Road,Freehold,63000 sqft,,0,,Resale,Residential Land / Plot,300 m
,,,,,,,,,,,,,,,,Yes,No,,0,1,"Rishra, Kolkata",,,,15840 sqft,2.50 Cr,1,1578.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Howrah, Kolkata",,,,1450 sqft,10 Lac,1,690.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,,"Habra, Kolkata",4.00,,Freehold,3240 sqft,36 Lac,1,1111.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 40.2,0,4,"Kankurgachi, Kolkata",4.00,,Freehold,2160 sqft,80 Lac,1,3703.00,Resale,Residential Land / Plot,25 m
